Name,Description,Price,Image_URL
Custom Phone Stand,"Adjustable phone stand perfect for video calls and watching videos. Available in multiple colors.",15.99,https://via.placeholder.com/300x200/667eea/white?text=Phone+Stand
Desk Organizer,"Keep your desk tidy with this multi-compartment organizer. Great for pens, clips, and small items.",22.50,https://via.placeholder.com/300x200/764ba2/white?text=Desk+Organizer
Plant Pot,"Beautiful geometric plant pot with drainage hole. Perfect for succulents and small plants.",18.75,https://via.placeholder.com/300x200/28a745/white?text=Plant+Pot
Cable Management Clip,"Set of 5 clips to keep your cables organized and prevent them from falling behind your desk.",8.99,https://via.placeholder.com/300x200/ffc107/black?text=Cable+Clips
Miniature Garden Tools,"Adorable set of miniature garden tools. Perfect for small planters or as decorative items.",12.99,https://via.placeholder.com/300x200/17a2b8/white?text=Garden+Tools
Custom Keychain,"Personalized keychain with your name or custom text. Durable and lightweight plastic construction.",6.50,https://via.placeholder.com/300x200/e83e8c/white?text=Keychain
Tablet Stand,"Sturdy tablet stand with adjustable angles. Perfect for reading, watching videos, or video calls.",24.99,https://via.placeholder.com/300x200/6f42c1/white?text=Tablet+Stand
Pen Holder,"Elegant pen holder with multiple compartments. Keeps your writing instruments organized and accessible.",14.75,https://via.placeholder.com/300x200/fd7e14/white?text=Pen+Holder
Bookend Set,"Set of 2 decorative bookends. Keep your books organized while adding style to your shelf.",19.99,https://via.placeholder.com/300x200/20c997/white?text=Bookends
Coaster Set,"Set of 4 geometric coasters. Protect your furniture while adding a modern touch to your space.",9.99,https://via.placeholder.com/300x200/dc3545/white?text=Coasters
